Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1u","C_0402_1005Metric",98.900103,-108.144511,90.000000,top
"C2","10u","C_0402_1005Metric",117.000000,-97.500000,90.000000,top
"C3","10u","C_0402_1005Metric",117.000000,-100.000000,-90.000000,top
"C4","10u","C_0402_1005Metric",101.630000,-94.317500,-90.000000,top
"C5","10u","C_0402_1005Metric",100.130000,-94.317500,-90.000000,top
"C6","12p","C_0402_1005Metric",101.600000,-82.100000,90.000000,top
"C7","12p","C_0402_1005Metric",104.775000,-82.100000,90.000000,top
"C8","100n","C_0402_1005Metric",115.316000,-81.252000,90.000000,top
"C9","10n","C_0402_1005Metric",112.000000,-90.000000,180.000000,top
"C10","0.1u","C_0402_1005Metric",116.840000,-86.868000,90.000000,top
"C11","0.1u","C_0402_1005Metric",114.032000,-90.000000,0.000000,top
"C12","2.2n","C_0402_1005Metric",116.840000,-84.610000,90.000000,top
"D1","GREEN","LED_0402_1005Metric",104.775000,-89.535000,-90.000000,top
"D2","RED","LED_0402_1005Metric",101.600000,-89.535000,-90.000000,top
"D3","B5819W-TP","SOD3716X135N",107.315000,-95.622500,0.000000,top
"D4","RED","LED_0402_1005Metric",99.568000,-66.009000,90.000000,top
"IC1","DW01A","SOT23-6",102.000103,-107.664511,0.000000,top
"J1","TYPE-C-31-M-12","HRO_TYPE-C-31-M-12",125.052500,-111.252000,-90.000000,top
"Q1","FS8205A","SOP65P640X120-8N",111.125000,-107.950000,-90.000000,top
"Q2","AO3401A","SOT-23",107.315000,-99.060000,90.000000,top
"R1","100","R_0402_1005Metric",105.410000,-106.045000,-90.000000,top
"R2","1k","R_0402_1005Metric",105.410000,-108.154511,-90.000000,top
"R3","2k","R_0402_1005Metric",113.500000,-103.000000,0.000000,top
"R4","1k","R_0402_1005Metric",104.775000,-86.360000,180.000000,top
"R5","1k","R_0402_1005Metric",101.600000,-86.360000,180.000000,top
"R6","10k","R_0402_1005Metric",110.490000,-93.345000,90.000000,top
"R7","470k","R_0402_1005Metric",99.568000,-76.200000,90.000000,top
"R8","470k","R_0402_1005Metric",99.568000,-74.000000,90.000000,top
"R9","5.1k","R_0402_1005Metric",117.348000,-113.157000,180.000000,top
"R10","5.1k","R_0402_1005Metric",117.348000,-109.220000,180.000000,top
"R11","1k","R_0402_1005Metric",99.568000,-68.394000,-90.000000,top
"R12","10k","R_0402_1005Metric",107.190000,-82.550000,180.000000,top
"R13","10k","R_0402_1005Metric",107.190000,-81.280000,0.000000,top
"U1","TP4056","SOP127P600X175-9N",113.500000,-98.500000,0.000000,top
"U2","MPU-6050","InvenSense_QFN-24_4x4mm_P0.5mm",113.000000,-86.360000,-90.000000,top
"U3","HT7330","SOT89",101.630000,-97.297500,90.000000,top
"U4","E73-2G4M08S1C","E73-2G4M08S1C-modified",108.712000,-67.564000,0.000000,top
"U5","SHT30-DIS","Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm",112.776000,-80.772000,0.000000,top
"Y1","32.768 kHz","XTAL_NX3215SA-32.768K-STD-MUA-14",103.124000,-79.560000,180.000000,top
